prefecture-level city,Prefecture level city code,year,Local general public budget expenditures_Ten thousand yuan_Citywide,science and technology expenditure_Ten thousand yuan_Citywide,Scientific and technological level
Xinyang City,411500,2011,2228036,14102,0.00632934
Xinyang City,411500,2012,2771114,18281,0.00659699
Xinyang City,411500,2013,3048838,17703,0.00580647
Xinyang City,411500,2014,3353735,20183,0.00601807
Xinyang City,411500,2015,3748133,19989,0.00533306
Xinyang City,411500,2016,4048670,21613,0.0053383
Xinyang City,411500,2017,4460438,22204,0.00497799
Xinyang City,411500,2018,5227521,22911,0.00438277
Xinyang City,411500,2019,5958160,24110,0.00404655
Xinyang City,411500,2020,6109146,92007,0.01506053
Xinyang City,411500,2021,6105324,148349,0.0242983
Zhoukou City,411600,2003,351256,879,0.00250245
Zhoukou City,411600,2004,419950,792,0.00188594
Zhoukou City,411600,2005,546190,982,0.00179791
Zhoukou City,411600,2006,785731,1033,0.0013147
Zhoukou City,411600,2007,1010634,7659,0.00757841
Zhoukou City,411600,2008,1288312,9704,0.00753234
Zhoukou City,411600,2009,1629281,10180,0.00624815
Zhoukou City,411600,2010,1936989,13843,0.00714666
Zhoukou City,411600,2011,2448338,15167,0.00619481
Zhoukou City,411600,2012,3235596,26306,0.00813019
Zhoukou City,411600,2013,3542190,30490,0.00860767
Zhoukou City,411600,2014,3825196,27769,0.0072595
Zhoukou City,411600,2015,4337433,27009,0.00622695
Zhoukou City,411600,2016,4755175,25997,0.0054671
Zhoukou City,411600,2017,5133367,33729,0.00657054
Zhoukou City,411600,2018,6186475,38983,0.00630133
Zhoukou City,411600,2019,6562183,43637,0.00664977
Zhoukou City,411600,2020,6895282,68553,0.00994202
Zhoukou City,411600,2021,6668025,97420,0.01461002
Zhumadian City,411700,2003,330847,947,0.00286235
Zhumadian City,411700,2004,400113,1002,0.00250429
Zhumadian City,411700,2005,505585,1179,0.00233195
Zhumadian City,411700,2006,644888,1441,0.0022345
Zhumadian City,411700,2007,909533,9700,0.01066481
Zhumadian City,411700,2008,1086456,10856,0.00999212
Zhumadian City,411700,2009,1434963,14155,0.00986437
Zhumadian City,411700,2010,1722990,18033,0.01046611
Zhumadian City,411700,2011,2125951,21446,0.01008772
Zhumadian City,411700,2012,2689825,27966,0.01039696
Zhumadian City,411700,2013,3077076,33363,0.01084244
Zhumadian City,411700,2014,3476740,35876,0.01031886
Zhumadian City,411700,2015,3837241,33006,0.00860149
Zhumadian City,411700,2016,4140220,42093,0.01016685
Zhumadian City,411700,2017,4772273,56795,0.01190104
Zhumadian City,411700,2018,5481483,61273,0.01117818
Zhumadian City,411700,2019,6100037,71186,0.01166977
Zhumadian City,411700,2020,6257024,181969,0.02908236
Zhumadian City,411700,2021,4795143,193146,0.04027951
Wuhan,420100,2003,1177840,9052,0.00768525
Wuhan,420100,2004,1426149,6549,0.00459209
Wuhan,420100,2005,1768795,8390,0.00474334
Wuhan,420100,2006,2578102,10751,0.00417012
Wuhan,420100,2007,3072345,72118,0.02347328
Wuhan,420100,2008,3778847,86071,0.02277705
Wuhan,420100,2009,5036430,101520,0.02015714
Wuhan,420100,2010,5835453,117036,0.02005603
Wuhan,420100,2011,7650426,152687,0.01995797
Wuhan,420100,2012,8855477,206490,0.02331777
Wuhan,420100,2013,11228838,315967,0.02813889
Wuhan,420100,2014,11751039,568956,0.04841751
Wuhan,420100,2015,13380508,681890,0.05096144
Wuhan,420100,2016,15246791,864219,0.05668203
Wuhan,420100,2017,17282839,1129906,0.06537734
Wuhan,420100,2018,19293075,1344072,0.06966603
Wuhan,420100,2019,22371003,1764277,0.07886446
Wuhan,420100,2020,24078114,1526677,0.06340517
Wuhan,420100,2021,22159673,1902166,0.08583908
Huangshi City,420200,2003,152623,430,0.0028174
Huangshi City,420200,2004,183835,512,0.00278511
Huangshi City,420200,2005,234717,590,0.00251367
Huangshi City,420200,2006,314321,752,0.00239246
Huangshi City,420200,2007,407946,894,0.00219147
Huangshi City,420200,2008,530957,1071,0.00201711
Huangshi City,420200,2009,808350,1255,0.00155255
Huangshi City,420200,2010,1024906,10540,0.01028387
Huangshi City,420200,2011,1278769,14780,0.01155799
Huangshi City,420200,2012,1399910,17057,0.01218435
Huangshi City,420200,2013,1501619,17197,0.01145231
Huangshi City,420200,2014,1671428,19878,0.01189282
Huangshi City,420200,2015,2257574,24380,0.0107992
Huangshi City,420200,2016,2225300,40684,0.01828248
Huangshi City,420200,2017,2242733,31241,0.01392988
Huangshi City,420200,2018,2464970,47287,0.0191836
Huangshi City,420200,2019,2656790,48485,0.01824947
Huangshi City,420200,2020,2863397,59061,0.0206262
Huangshi City,420200,2021,2498658,67391,0.02697088
Shiyan City,420300,2003,212332,298,0.00140346
Shiyan City,420300,2004,269017,330,0.00122669
Shiyan City,420300,2005,342548,449,0.00131077
Shiyan City,420300,2006,428329,531,0.0012397
Shiyan City,420300,2007,540323,4830,0.0089391
Shiyan City,420300,2008,714142,4878,0.00683057
Shiyan City,420300,2009,1141039,6862,0.00601382
Shiyan City,420300,2010,2088797,9824,0.00470319
Shiyan City,420300,2011,1850858,20534,0.01109431
Shiyan City,420300,2012,2077542,25447,0.01224861
Shiyan City,420300,2013,2314229,31591,0.01365077
Shiyan City,420300,2014,2581674,35906,0.01390803
Shiyan City,420300,2015,3076464,35058,0.01139555
Shiyan City,420300,2016,3225397,33972,0.01053266
Shiyan City,420300,2017,3413531,42705,0.01251051
Shiyan City,420300,2018,3741417,46469,0.01242016
Shiyan City,420300,2019,4069458,60996,0.01498873
Shiyan City,420300,2020,4592283,66347,0.0144475
Shiyan City,420300,2021,3758583,75623,0.02012008
Yichang City,420500,2003,343033,635,0.00185113
Yichang City,420500,2004,389204,768,0.00197326
Yichang City,420500,2005,476280,852,0.00178886
Yichang City,420500,2006,627607,1115,0.00177659
Yichang City,420500,2007,789032,17446,0.02211064
Yichang City,420500,2008,1052989,20773,0.01972765
Yichang City,420500,2009,1565296,22891,0.01462407
Yichang City,420500,2010,1952304,28922,0.01481429
Yichang City,420500,2011,2380913,36726,0.01542518
Yichang City,420500,2012,2956297,47996,0.01623518
Yichang City,420500,2013,3608522,62912,0.01743428
Yichang City,420500,2014,4428178,67086,0.0151498
Yichang City,420500,2015,5375291,137161,0.02551694
Yichang City,420500,2016,5319706,136885,0.02573169
Yichang City,420500,2017,4938294,143600,0.02907887
Yichang City,420500,2018,5035790,141661,0.02813084
Yichang City,420500,2019,5969918,165567,0.02773355
Yichang City,420500,2020,5895908,151143,0.02563524
Yichang City,420500,2021,4837045,154660,0.03197407
Xiangyang City,420600,2003,299753,1009,0.0033661
Xiangyang City,420600,2004,332731,1021,0.00306854
Xiangyang City,420600,2005,481832,1521,0.0031567
Xiangyang City,420600,2006,567750,1626,0.00286394
Xiangyang City,420600,2007,715234,9596,0.01341659
Xiangyang City,420600,2008,966441,12224,0.01264847
Xiangyang City,420600,2009,1481637,14311,0.00965891
Xiangyang City,420600,2010,1849167,18109,0.00979306
Xiangyang City,420600,2011,2481406,27896,0.01124201
Xiangyang City,420600,2012,3139677,45582,0.01451805
Xiangyang City,420600,2013,3648653,46699,0.01279897
Xiangyang City,420600,2014,4379283,187876,0.04290109
Xiangyang City,420600,2015,5845031,201511,0.03447561
Xiangyang City,420600,2016,6397400,206938,0.0323472
Xiangyang City,420600,2017,6419853,229986,0.03582418
Xiangyang City,420600,2018,6709664,302249,0.04504682
Xiangyang City,420600,2019,7296831,270417,0.03705951
Xiangyang City,420600,2020,6702833,204991,0.03058274
Xiangyang City,420600,2021,6046098,114085,0.01886919
Ezhou City,420700,2003,70224,254,0.003617
Ezhou City,420700,2004,79074,298,0.00376862
Ezhou City,420700,2005,103810,281,0.00270687
Ezhou City,420700,2006,135500,642,0.00473801
Ezhou City,420700,2007,178440,2127,0.01191997
Ezhou City,420700,2008,239600,2470,0.01030885
Ezhou City,420700,2009,356712,2697,0.00756072
Ezhou City,420700,2010,430116,3273,0.00760958
Ezhou City,420700,2011,566936,6400,0.01128875
Ezhou City,420700,2012,626832,7828,0.01248819
Ezhou City,420700,2013,708450,10251,0.01446962
Ezhou City,420700,2014,756147,5864,0.00775511
Ezhou City,420700,2015,848701,8081,0.00952161
Ezhou City,420700,2016,1001860,29981,0.02992534
Ezhou City,420700,2017,1163740,43349,0.03724973
Ezhou City,420700,2018,1225496,30040,0.02451252
Ezhou City,420700,2019,1253075,14597,0.01164894
Ezhou City,420700,2020,1274060,25927,0.02034991
Ezhou City,420700,2021,1232441,52433,0.04254402
Jingmen City,420800,2003,162586,303,0.00186363
Jingmen City,420800,2004,194647,247,0.00126896
Jingmen City,420800,2005,245769,258,0.00104977
Jingmen City,420800,2006,291172,253,0.0008689
Jingmen City,420800,2007,479470,4240,0.0088431
Jingmen City,420800,2008,491751,5118,0.01040771
Jingmen City,420800,2009,816588,6572,0.00804812
Jingmen City,420800,2010,954584,7191,0.00753312
Jingmen City,420800,2011,1253407,9711,0.00774768
Jingmen City,420800,2012,1421971,14715,0.01034831
Jingmen City,420800,2013,1587851,21407,0.01348174
Jingmen City,420800,2014,1789572,28254,0.01578813
Jingmen City,420800,2015,2258968,48062,0.02127609
Jingmen City,420800,2016,2467600,58149,0.023565
Jingmen City,420800,2017,2676177,63122,0.02358663
Jingmen City,420800,2018,2693071,71851,0.02667995
Jingmen City,420800,2019,2936776,85184,0.02900596
Jingmen City,420800,2020,3129351,94743,0.03027561
Jingmen City,420800,2021,2394438,66022,0.02757307
Xiaogan City,420900,2003,214938,650,0.00302413
Xiaogan City,420900,2004,242731,770,0.00317224
Xiaogan City,420900,2005,279499,826,0.00295529
Xiaogan City,420900,2006,418855,1067,0.00254742
Xiaogan City,420900,2007,545978,6018,0.01102242
Xiaogan City,420900,2008,543997,6378,0.01172433
Xiaogan City,420900,2009,1097861,9318,0.00848741
Xiaogan City,420900,2010,1335774,10609,0.00794221
Xiaogan City,420900,2011,1141475,14176,0.01241902
Xiaogan City,420900,2012,2017925,23352,0.01157228
Xiaogan City,420900,2013,2278988,26218,0.01150423
Xiaogan City,420900,2014,2531799,34671,0.01369422
Xiaogan City,420900,2015,2903771,77996,0.02686024
Xiaogan City,420900,2016,3551200,95569,0.02691175
Xiaogan City,420900,2017,3612973,105530,0.02920863
Xiaogan City,420900,2018,3825169,105927,0.02769211
Xiaogan City,420900,2019,4088361,112247,0.02745526
Xiaogan City,420900,2020,4252623,99236,0.02333525
Xiaogan City,420900,2021,4052985,109041,0.02690387
Jingzhou City,421000,2003,294350,740,0.00251401
Jingzhou City,421000,2004,341419,752,0.00220257
Jingzhou City,421000,2005,395124,843,0.00213351
Jingzhou City,421000,2006,428594,1037,0.00241954
Jingzhou City,421000,2007,530003,1296,0.00244527
Jingzhou City,421000,2008,664236,4629,0.00696891
Jingzhou City,421000,2009,802419,4990,0.0062187
Jingzhou City,421000,2010,1033629,5729,0.00554261
Jingzhou City,421000,2011,1253407,9711,0.00774768
Jingzhou City,421000,2012,2268341,22638,0.00997998
Jingzhou City,421000,2013,2559244,30527,0.01192813
Jingzhou City,421000,2014,2762949,38787,0.01403826
Jingzhou City,421000,2015,2587351,52915,0.02045142
Jingzhou City,421000,2016,3847050,87332,0.02270103
Jingzhou City,421000,2017,4056447,96425,0.0237708
Jingzhou City,421000,2018,4331818,98410,0.02271794
Jingzhou City,421000,2019,4895679,95583,0.01952395
Jingzhou City,421000,2020,5328171,89326,0.01676485
Jingzhou City,421000,2021,4389884,119559,0.02723512
Huanggang City,421100,2003,317725,939,0.00295539
Huanggang City,421100,2004,361410,962,0.0026618
Huanggang City,421100,2005,440285,1110,0.00252109
Huanggang City,421100,2006,516565,1567,0.0030335
Huanggang City,421100,2007,744800,5103,0.0068515
Huanggang City,421100,2008,1022771,9025,0.00882407
Huanggang City,421100,2009,1517880,14880,0.00980315
Huanggang City,421100,2010,1830811,20889,0.0114097
Huanggang City,421100,2011,2234739,29168,0.01305208
Huanggang City,421100,2012,2719488,36848,0.01354961
Huanggang City,421100,2013,3008193,49370,0.01641185
Huanggang City,421100,2014,3454008,55151,0.01596725
Huanggang City,421100,2015,4034407,68115,0.01688352
Huanggang City,421100,2016,4525414,78114,0.01726118
Huanggang City,421100,2017,4544837,83742,0.01842574
Huanggang City,421100,2018,4826328,94062,0.01948935
Huanggang City,421100,2019,5343399,97139,0.01817925
Huanggang City,421100,2020,5948419,105662,0.01776304
Huanggang City,421100,2021,5078258,86596,0.0170523
Xianning City,421200,2003,142623,326,0.00228575
Xianning City,421200,2004,173267,307,0.00177183
Xianning City,421200,2005,214105,357,0.00166741
Xianning City,421200,2006,280280,486,0.00173398
Xianning City,421200,2007,364010,4478,0.01230186
Xianning City,421200,2008,549938,5026,0.00913921
Xianning City,421200,2009,789879,8316,0.01052819
Xianning City,421200,2010,948529,9653,0.01017681
Xianning City,421200,2011,1228648,13450,0.01094699
Xianning City,421200,2012,1435442,18020,0.01255362
Xianning City,421200,2013,1566854,20781,0.01326288
Xianning City,421200,2014,1780757,24583,0.0138048
Xianning City,421200,2015,1910300,30200,0.01580904
Xianning City,421200,2016,2162000,37400,0.0172988
Xianning City,421200,2017,2271124,38180,0.01681106
Xianning City,421200,2018,2483444,52106,0.02098135
Xianning City,421200,2019,2802677,66219,0.02362705
Xianning City,421200,2020,3122625,69590,0.02228574
Xianning City,421200,2021,2784802,70732,0.02539929
suizhou city,421300,2003,103279,139,0.00134587
suizhou city,421300,2004,114520,132,0.00115264
suizhou city,421300,2005,141152,179,0.00126814
suizhou city,421300,2006,180800,294,0.00162611
suizhou city,421300,2007,231008,2965,0.01283505
suizhou city,421300,2008,317348,3845,0.01211604
suizhou city,421300,2009,461068,4561,0.00989225
suizhou city,421300,2010,572289,5813,0.01015746
suizhou city,421300,2011,723219,8233,0.01138383
suizhou city,421300,2012,855449,10844,0.01267638
suizhou city,421300,2013,1000426,14360,0.01435389
suizhou city,421300,2014,1037058,15302,0.0147552
suizhou city,421300,2015,1531016,21417,0.01398875
suizhou city,421300,2016,1467200,18694,0.01274128
suizhou city,421300,2017,1529807,15033,0.00982673
suizhou city,421300,2018,1541363,15081,0.0097842
suizhou city,421300,2019,1579845,16210,0.0102605
suizhou city,421300,2020,1909360,21593,0.01130903
suizhou city,421300,2021,1491719,18222,0.01221544
Changsha City,430100,2003,784168,2688,0.00342784
Changsha City,430100,2004,1005542,3014,0.00299739
Changsha City,430100,2005,1330503,3489,0.00262232
Changsha City,430100,2006,1671873,3937,0.00235484
Changsha City,430100,2007,2181733,74914,0.03433692
Changsha City,430100,2008,2605584,95490,0.03664821
Changsha City,430100,2009,3140820,107816,0.03432734
Changsha City,430100,2010,4033349,133275,0.03304326
Changsha City,430100,2011,5208876,154252,0.0296133
Changsha City,430100,2012,6246207,167458,0.02680955
Changsha City,430100,2013,7018238,202244,0.02881692
Changsha City,430100,2014,8023838,224570,0.02798785
Changsha City,430100,2015,9249992,241731,0.0261331
Changsha City,430100,2016,10414331,246112,0.02363205
Changsha City,430100,2017,11826043,293220,0.02479443
Changsha City,430100,2018,13007895,361871,0.02781934
Changsha City,430100,2019,14259810,492477,0.03453601
Changsha City,430100,2020,15012319,554502,0.03693647
Changsha City,430100,2021,15415932,687933,0.04462481
Zhuzhou City,430200,2003,307238,728,0.0023695
Zhuzhou City,430200,2004,391571,789,0.00201496
Zhuzhou City,430200,2005,452384,861,0.00190325
Zhuzhou City,430200,2006,531247,816,0.00153601
Zhuzhou City,430200,2007,724845,11320,0.01561713
Zhuzhou City,430200,2008,942134,17772,0.01886356
Zhuzhou City,430200,2009,1220985,27137,0.0222255
Zhuzhou City,430200,2010,1569782,20981,0.01336555
Zhuzhou City,430200,2011,1918979,312273,0.16272872
Zhuzhou City,430200,2012,2302837,30760,0.01335744
Zhuzhou City,430200,2013,2597452,38458,0.01480605
Zhuzhou City,430200,2014,2920256,43909,0.01503601
Zhuzhou City,430200,2015,3501060,76422,0.02182825
Zhuzhou City,430200,2016,4052291,66079,0.01630658
Zhuzhou City,430200,2017,4470811,120030,0.02684748
Zhuzhou City,430200,2018,4562770,176280,0.03863443
Zhuzhou City,430200,2019,5233776,258653,0.04941996
Zhuzhou City,430200,2020,4698064,363967,0.0774717
Zhuzhou City,430200,2021,4873620,315384,0.06471247
Xiangtan City,430300,2003,196970,493,0.00250292
Xiangtan City,430300,2004,242776,512,0.00210894
Xiangtan City,430300,2005,313876,802,0.00255515
Xiangtan City,430300,2006,395815,779,0.00196809
Xiangtan City,430300,2007,518250,12157,0.02345779
Xiangtan City,430300,2008,680889,14445,0.02121491
Xiangtan City,430300,2009,874886,18607,0.02126791
Xiangtan City,430300,2010,1068079,22010,0.02060709
Xiangtan City,430300,2011,1336903,22262,0.01665192
Xiangtan City,430300,2012,1451958,21748,0.01497839
Xiangtan City,430300,2013,1834191,31302,0.01706583
Xiangtan City,430300,2014,2036005,25778,0.01266107
Xiangtan City,430300,2015,2298943,26433,0.01149789
Xiangtan City,430300,2016,2725867,33279,0.01220859
Xiangtan City,430300,2017,2811352,70020,0.02490617
Xiangtan City,430300,2018,3074651,116084,0.03775518
Xiangtan City,430300,2019,3165869,129926,0.0410396
Xiangtan City,430300,2020,2933994,173299,0.0590659
Xiangtan City,430300,2021,2736570,132506,0.04842047
Hengyang City,430400,2003,335968,767,0.00228296
Hengyang City,430400,2004,390671,781,0.00199912
Hengyang City,430400,2005,512302,933,0.00182119
Hengyang City,430400,2006,662023,1326,0.00200295
Hengyang City,430400,2007,891057,5319,0.00596932
Hengyang City,430400,2008,1192463,6749,0.00565971
Hengyang City,430400,2009,1506442,8000,0.00531053
Hengyang City,430400,2010,2093341,12429,0.0059374
Hengyang City,430400,2011,2599294,12445,0.00478784
Hengyang City,430400,2012,3042955,14997,0.00492843
Hengyang City,430400,2013,3642848,19213,0.00527417
Hengyang City,430400,2014,4129846,19703,0.00477088
Hengyang City,430400,2015,4918783,21044,0.00427829
Hengyang City,430400,2016,5394202,21438,0.00397427
Hengyang City,430400,2017,5304298,32402,0.00610863
Hengyang City,430400,2018,5314820,44286,0.00833255
Hengyang City,430400,2019,6000208,52103,0.00868353
Hengyang City,430400,2020,5775145,115545,0.02000729
Hengyang City,430400,2021,5646252,117049,0.02073039
Shaoyang City,430500,2003,314078,443,0.00141048
Shaoyang City,430500,2004,383746,538,0.00140197
Shaoyang City,430500,2005,470243,794,0.00168849
Shaoyang City,430500,2006,600525,822,0.0013688
Shaoyang City,430500,2007,827981,3653,0.00441194
Shaoyang City,430500,2008,1059257,4417,0.0041699
Shaoyang City,430500,2009,1349964,6463,0.00478754
Shaoyang City,430500,2010,1616137,6278,0.00388457
Shaoyang City,430500,2011,1951058,6492,0.00332743
Shaoyang City,430500,2012,2479748,6464,0.00260672
Shaoyang City,430500,2013,3068073,9935,0.00323819
Shaoyang City,430500,2014,3463587,12145,0.00350648
Shaoyang City,430500,2015,4321331,18425,0.00426373
Shaoyang City,430500,2016,4800569,21675,0.00451509
Shaoyang City,430500,2017,5107924,17343,0.00339531
Shaoyang City,430500,2018,5481565,33806,0.00616722
Shaoyang City,430500,2019,5816831,47772,0.00821272
Shaoyang City,430500,2020,5902346,70684,0.01197558
Shaoyang City,430500,2021,5838714,56609,0.00969546
Yueyang City,430600,2003,364247,643,0.00176529
Yueyang City,430600,2004,422590,733,0.00173454
Yueyang City,430600,2005,482296,800,0.00165873
Yueyang City,430600,2006,606528,1250,0.00206091
Yueyang City,430600,2007,846754,11102,0.01311125
Yueyang City,430600,2008,1351083,12809,0.00948054
Yueyang City,430600,2009,1549318,15692,0.01012833
Yueyang City,430600,2010,1956597,17956,0.00917716
Yueyang City,430600,2011,2058166,24472,0.0118902
Yueyang City,430600,2012,2348205,29322,0.01248698
Yueyang City,430600,2013,2799881,32452,0.01159049
Yueyang City,430600,2014,3161715,35361,0.01118412
Yueyang City,430600,2015,3758048,36602,0.00973963
Yueyang City,430600,2016,4310233,54655,0.01268029
Yueyang City,430600,2017,4890629,54559,0.01115582
Yueyang City,430600,2018,5317647,83226,0.01565091
Yueyang City,430600,2019,5324337,116174,0.02181943
Yueyang City,430600,2020,5435981,139587,0.02567835
Yueyang City,430600,2021,5350175,159076,0.02973286
Changde City,430700,2003,358521,586,0.00163449
Changde City,430700,2004,417086,650,0.00155843
Changde City,430700,2005,510013,794,0.00155682
Changde City,430700,2006,646879,990,0.00153043
Changde City,430700,2007,889717,4621,0.00519379
Changde City,430700,2008,1129767,5841,0.00517009
Changde City,430700,2009,1368056,8613,0.00629579
Changde City,430700,2010,1773011,10337,0.0058302
Changde City,430700,2011,2227929,13832,0.00620846
Changde City,430700,2012,2549661,14659,0.00574939
Changde City,430700,2013,3173846,20342,0.00640926
Changde City,430700,2014,3627711,22884,0.00630811
Changde City,430700,2015,4265226,23461,0.00550053
Changde City,430700,2016,4630473,23264,0.00502411
Changde City,430700,2017,4904950,54747,0.01116158
Changde City,430700,2018,5481220,82578,0.01506562
Changde City,430700,2019,6085388,98346,0.01616101
Changde City,430700,2020,6139843,104097,0.01695434
Changde City,430700,2021,5970787,96568,0.01617341
Zhangjiajie City,430800,2003,107357,185,0.00172322
Zhangjiajie City,430800,2004,118858,224,0.0018846
Zhangjiajie City,430800,2005,147103,357,0.00242687
Zhangjiajie City,430800,2006,190333,340,0.00178634
Zhangjiajie City,430800,2007,259632,1272,0.00489924
Zhangjiajie City,430800,2008,348247,2381,0.0068371
Zhangjiajie City,430800,2009,464708,1892,0.00407137
Zhangjiajie City,430800,2010,550894,2177,0.00395176
Zhangjiajie City,430800,2011,683717,2981,0.00435999
Zhangjiajie City,430800,2012,808328,5014,0.00620293
Zhangjiajie City,430800,2013,878954,3878,0.00441206
Zhangjiajie City,430800,2014,1168432,3706,0.00317177
Zhangjiajie City,430800,2015,1443320,3049,0.00211249
Zhangjiajie City,430800,2016,1444074,4851,0.00335925
Zhangjiajie City,430800,2017,1523548,6401,0.00420138
Zhangjiajie City,430800,2018,1755791,8286,0.00471924
Zhangjiajie City,430800,2019,1879511,13832,0.00735936
Zhangjiajie City,430800,2020,1979201,18876,0.00953718
Zhangjiajie City,430800,2021,1829850,16561,0.00905047
Yiyang City,430900,2003,211900,499,0.00235488
Yiyang City,430900,2004,264111,567,0.00214682
Yiyang City,430900,2005,317808,785,0.00247004
Yiyang City,430900,2006,453497,972,0.00214334
Yiyang City,430900,2007,607994,6437,0.01058728
Yiyang City,430900,2008,775046,9057,0.01168576
Yiyang City,430900,2009,981056,4654,0.00474387
Yiyang City,430900,2010,1167511,7088,0.00607103
Yiyang City,430900,2011,1430824,9632,0.00673179
Yiyang City,430900,2012,1722440,12907,0.00749344
Yiyang City,430900,2013,2006409,18124,0.00903305
Yiyang City,430900,2014,2366168,20771,0.00877833
Yiyang City,430900,2015,2750128,19574,0.00711749
Yiyang City,430900,2016,3103902,22120,0.00712651
Yiyang City,430900,2017,3345714,25538,0.00763305
Yiyang City,430900,2018,3563421,38361,0.01076522
Yiyang City,430900,2019,3824188,48347,0.01264242
Yiyang City,430900,2020,3852304,63681,0.01653063
Yiyang City,430900,2021,3569169,67652,0.01895455
Chenzhou City,431000,2003,350706,736,0.00209862
Chenzhou City,431000,2004,406048,812,0.00199976
Chenzhou City,431000,2005,494730,952,0.00192428
Chenzhou City,431000,2006,622419,1344,0.00215932
Chenzhou City,431000,2007,778374,11321,0.01454442
Chenzhou City,431000,2008,984376,14368,0.01459605
Chenzhou City,431000,2009,1312925,19252,0.01466344
Chenzhou City,431000,2010,1611473,23278,0.01444517
Chenzhou City,431000,2011,2198775,29752,0.01353117
Chenzhou City,431000,2012,2486413,35019,0.01408414
Chenzhou City,431000,2013,3025851,39846,0.01316853
Chenzhou City,431000,2014,3515722,44600,0.01268587
Chenzhou City,431000,2015,3788178,45807,0.01209209
Chenzhou City,431000,2016,4040665,49291,0.01219873
Chenzhou City,431000,2017,3976419,43617,0.01096891
Chenzhou City,431000,2018,4173001,78222,0.01874478
Chenzhou City,431000,2019,4405446,91039,0.0206651
Chenzhou City,431000,2020,4644547,123707,0.02663489
Chenzhou City,431000,2021,4746671,120676,0.02542329
Yongzhou City,431100,2003,273227,577,0.0021118
Yongzhou City,431100,2004,328635,791,0.00240693
Yongzhou City,431100,2005,408159,972,0.00238142
Yongzhou City,431100,2006,527875,1176,0.0022278
Yongzhou City,431100,2007,730973,4561,0.00623963
Yongzhou City,431100,2008,954022,5748,0.00602502
Yongzhou City,431100,2009,1235476,6906,0.00558975
Yongzhou City,431100,2010,1443893,8479,0.00587232
Yongzhou City,431100,2011,1813956,10691,0.00589375
Yongzhou City,431100,2012,2200029,10922,0.00496448
Yongzhou City,431100,2013,2576339,15492,0.00601318
Yongzhou City,431100,2014,3039653,17186,0.00565393
Yongzhou City,431100,2015,3532357,21665,0.0061333
Yongzhou City,431100,2016,3992256,23928,0.0059936
Yongzhou City,431100,2017,4318785,42140,0.00975737
Yongzhou City,431100,2018,4608076,52193,0.01132642
Yongzhou City,431100,2019,4970007,74520,0.01499394
Yongzhou City,431100,2020,5012397,102795,0.02050815
Yongzhou City,431100,2021,4942346,121481,0.02457962
Huaihua City,431200,2003,249149,249,0.0009994
Huaihua City,431200,2004,306835,317,0.00103313
Huaihua City,431200,2005,386578,420,0.00108646
Huaihua City,431200,2006,507141,516,0.00101747
Huaihua City,431200,2007,902345,3230,0.00357956
Huaihua City,431200,2008,954694,3553,0.00372161
Huaihua City,431200,2009,889777,3875,0.00435502
Huaihua City,431200,2010,1455507,6287,0.00431946
Huaihua City,431200,2011,1782598,7069,0.00396556
Huaihua City,431200,2012,2225273,10062,0.00452169
Huaihua City,431200,2013,2571436,12208,0.00474754
Huaihua City,431200,2014,2809030,12369,0.0044033
Huaihua City,431200,2015,3345277,12700,0.0037964
Huaihua City,431200,2016,3746196,19286,0.00514816
Huaihua City,431200,2017,4100397,43841,0.01069189
Huaihua City,431200,2018,4622431,55654,0.01203999
Huaihua City,431200,2019,4703075,85523,0.01818449
Huaihua City,431200,2020,4817156,128422,0.0266593
Huaihua City,431200,2021,4696586,93995,0.02001347
Loudi City,431300,2003,198600,544,0.00273917
Loudi City,431300,2004,243607,677,0.00277907
Loudi City,431300,2005,283852,750,0.00264222
Loudi City,431300,2006,367370,899,0.00244712
Loudi City,431300,2007,550618,1236,0.00224475
Loudi City,431300,2008,645149,1239,0.00192049
Loudi City,431300,2009,1254632,5191,0.00413747
Loudi City,431300,2010,1053211,8841,0.00839433
Loudi City,431300,2011,1313666,8644,0.00658006
Loudi City,431300,2012,1652037,8287,0.00501623
Loudi City,431300,2013,1891627,14286,0.00755223
Loudi City,431300,2014,2038290,9434,0.00462839
Loudi City,431300,2015,2377721,11117,0.00467549
Loudi City,431300,2016,2675845,8667,0.00323898
Loudi City,431300,2017,2778358,11932,0.00429462
Loudi City,431300,2018,3032858,25612,0.00844484
Loudi City,431300,2019,3208750,36915,0.01150448
Loudi City,431300,2020,3295235,52018,0.01578582
Loudi City,431300,2021,3384372,41195,0.01217213
Guangzhou City,440100,2003,3700911,20827,0.00562753
Guangzhou City,440100,2004,4083373,24791,0.00607121
Guangzhou City,440100,2005,4384122,24082,0.005493
Guangzhou City,440100,2006,5067899,26334,0.00519624
Guangzhou City,440100,2007,6236917,211587,0.03392493
Guangzhou City,440100,2008,7133508,262213,0.03675793
Guangzhou City,440100,2009,7899155,323623,0.04096932
Guangzhou City,440100,2010,9773199,319379,0.03267906
Guangzhou City,440100,2011,11812500,222300,0.01881905
Guangzhou City,440100,2012,13436451,521165,0.0387874
Guangzhou City,440100,2013,13861349,541912,0.03909518
Guangzhou City,440100,2014,14362226,563212,0.03921481
Guangzhou City,440100,2015,17277176,886688,0.05132135
Guangzhou City,440100,2016,19437465,1129546,0.0581118
Guangzhou City,440100,2017,21860130,1712569,0.07834212
